               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034704,             0.02906,           0.0064183,             0.80758,             0.71502,             0.80007,             0.56521,            0.034191,            0.011108,            0.019459,           0.0091337,           0.0091337,           0.0091337
                  37,             0.03386,            0.028366,           0.0065016,             0.87752,             0.66225,              0.8031,             0.56264,            0.031713,            0.011257,            0.022975,            0.009109,            0.009109,            0.009109
                  38,            0.032263,            0.027957,           0.0065455,             0.80442,             0.65294,             0.74163,             0.51758,            0.034566,            0.011826,            0.024817,           0.0090843,           0.0090843,           0.0090843
                  39,            0.033452,            0.027785,           0.0051406,             0.78681,              0.6796,              0.7736,               0.584,            0.031376,            0.010734,            0.022441,           0.0090595,           0.0090595,           0.0090595
                  40,            0.033826,            0.029049,           0.0063369,             0.78751,             0.69926,             0.77459,             0.54527,            0.033009,            0.011279,             0.02421,           0.0090347,           0.0090347,           0.0090347
                  41,            0.032805,            0.027582,           0.0057576,             0.85115,             0.67041,             0.76755,             0.56647,            0.033365,             0.01222,            0.021736,             0.00901,             0.00901,             0.00901
                  42,            0.033927,            0.028597,           0.0059271,             0.82815,             0.69092,             0.76378,             0.53008,            0.035367,            0.012256,            0.026715,           0.0089853,           0.0089853,           0.0089853
                  43,             0.03243,            0.027389,           0.0048592,             0.80897,             0.65725,               0.755,             0.53239,            0.035718,            0.012651,            0.025208,           0.0089605,           0.0089605,           0.0089605
                  44,            0.033038,            0.028196,           0.0054045,             0.82772,             0.67319,             0.76616,             0.52351,            0.034939,            0.012176,            0.024059,           0.0089358,           0.0089358,           0.0089358
                  45,            0.032491,            0.026789,           0.0065648,             0.87894,             0.70296,             0.80021,             0.56191,            0.034752,            0.011423,            0.020973,            0.008911,            0.008911,            0.008911
                  46,            0.033721,            0.027235,           0.0052821,             0.87884,             0.68264,             0.81641,               0.577,            0.034203,            0.011643,            0.017072,           0.0088863,           0.0088863,           0.0088863
                  47,            0.030393,            0.027957,           0.0060312,             0.87658,             0.70158,              0.8017,             0.58524,            0.032814,            0.011075,            0.020189,           0.0088615,           0.0088615,           0.0088615
                  48,            0.032013,            0.026825,           0.0060765,             0.86043,             0.68153,             0.80018,              0.5692,            0.033461,            0.011051,            0.018314,           0.0088368,           0.0088368,           0.0088368
                  49,            0.031707,            0.027485,           0.0057144,             0.89496,             0.68912,             0.80892,             0.59542,            0.034177,            0.011025,            0.020996,            0.008812,            0.008812,            0.008812
                  50,            0.030477,            0.025433,           0.0061846,             0.87308,             0.67597,             0.82268,             0.59217,            0.032913,            0.011291,            0.019841,           0.0087872,           0.0087872,           0.0087872
                  51,            0.031614,            0.026094,           0.0051432,             0.79681,             0.64205,             0.73759,             0.52694,            0.032308,            0.012627,            0.028197,           0.0087625,           0.0087625,           0.0087625
                  52,            0.030256,            0.025933,           0.0055568,             0.85111,              0.7089,             0.76557,             0.54619,            0.035277,            0.012722,             0.02366,           0.0087378,           0.0087378,           0.0087378
                  53,            0.030982,             0.02719,           0.0055134,             0.86361,             0.67816,             0.79688,             0.57613,            0.033871,            0.010914,            0.020828,            0.008713,            0.008713,            0.008713
                  54,             0.03114,            0.026545,           0.0050525,             0.83506,             0.72105,             0.79849,             0.56932,            0.034287,            0.011259,            0.014871,           0.0086882,           0.0086882,           0.0086882
